Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
10.3,0,0.228777659,0.228777659,0.228777659,0.228777659,0.228777659,0,0,0,0,9.969506615,57.31563766,56.12797906,597287600
10.31,0,0.228747137,0.228747137,0.228747137,0.228747137,0.228747137,0,0,0,0,9.96428394,57.30563093,56.11967951,597867500
10.32,0,0.228716692,0.228716692,0.228716692,0.228716692,0.228716692,0,0,0,0,9.959070291,57.29562658,56.11138465,598447300
10.33,0,0.228686325,0.228686325,0.228686325,0.228686325,0.228686325,0,0,0,0,9.953865524,57.28562684,56.10309616,599027200
10.34,0,0.228656025,0.228656025,0.228656025,0.228656025,0.228656025,0,0,0,0,9.94866964,57.27562348,56.09480775,599607100
10.35,0,0.228625794,0.228625794,0.228625794,0.228625794,0.228625794,0,0,0,0,9.943483447,57.26562311,56.08652457,600187000
10.36,0,0.22859564,0.22859564,0.22859564,0.22859564,0.22859564,0,0,0,0,9.938305249,57.25562311,56.07824442,600766800
10.37,0,0.228565554,0.228565554,0.228565554,0.228565554,0.228565554,0,0,0,0,9.933137052,57.24563352,56.06997522,601346800
10.38,0,0.228535555,0.228535555,0.228535555,0.228535555,0.228535555,0,0,0,0,9.927976209,57.23563824,56.06170432,601926700
10.39,0,0.228505625,0.228505625,0.228505625,0.228505625,0.228505625,0,0,0,0,9.922826176,57.22564925,56.05344131,602506600
10.4,0,0.228475762,0.228475762,0.228475762,0.228475762,0.228475762,0,0,0,0,9.917684258,57.21566528,56.0451849,603086400
10.41,0,0.228445976,0.228445976,0.228445976,0.228445976,0.228445976,0,0,0,0,9.91255106,57.20568786,56.03693632,603666300
10.42,0,0.228416258,0.228416258,0.228416258,0.228416258,0.228416258,0,0,0,0,9.907427186,57.19570284,56.02868482,604246200
10.43,0,0.228386608,0.228386608,0.228386608,0.228386608,0.228386608,0,0,0,0,9.902311641,57.18572557,56.02044202,604826100
10.44,0,0.228357045,0.228357045,0.228357045,0.228357045,0.228357045,0,0,0,0,9.897205281,57.17575531,56.01220746,605406000
10.45,0,0.228327541,0.228327541,0.228327541,0.228327541,0.228327541,0,0,0,0,9.892107659,57.16577574,56.0039686,605985900
10.46,0,0.228298113,0.228298113,0.228298113,0.228298113,0.228298113,0,0,0,0,9.88701848,57.15581389,55.99574608,606565800
10.47,0,0.228268754,0.228268754,0.228268754,0.228268754,0.228268754,0,0,0,0,9.8819394,57.14584795,55.9875234,607145700
10.48,0,0.228239471,0.228239471,0.228239471,0.228239471,0.228239471,0,0,0,0,9.876867722,57.13588573,55.97930624,607725600
10.49,0,0.228210258,0.228210258,0.228210258,0.228210258,0.228210258,0,0,0,0,9.871805551,57.12592026,55.97108949,608305500
10.5,0,0.22818111,0.22818111,0.22818111,0.22818111,0.22818111,0,0,0,0,9.866751293,57.11596221,55.96288113,608885400
10.51,0,0.228152031,0.228152031,0.228152031,0.228152031,0.228152031,0,0,0,0,9.861705701,57.10600881,55.95467915,609465300
10.52,0,0.228123019,0.228123019,0.228123019,0.228123019,0.228123019,0,0,0,0,9.85666943,57.09605485,55.9464796,610045200
10.53,0,0.228094085,0.228094085,0.228094085,0.228094085,0.228094085,0,0,0,0,9.851642534,57.08611092,55.93829062,610625000
10.54,0,0.228065218,0.228065218,0.228065218,0.228065218,0.228065218,0,0,0,0,9.846622219,57.07615666,55.9300963,611204900
10.55,0,0.228036409,0.228036409,0.228036409,0.228036409,0.228036409,0,0,0,0,9.841611838,57.06621915,55.92191772,611784800
10.56,0,0.228007688,0.228007688,0.228007688,0.228007688,0.228007688,0,0,0,0,9.836608946,57.05627135,55.91373395,612364700
10.57,0,0.227979024,0.227979024,0.227979024,0.227979024,0.227979024,0,0,0,0,9.831616847,57.0463381,55.90556434,612944600
10.58,0,0.227950437,0.227950437,0.227950437,0.227950437,0.227950437,0,0,0,0,9.826631046,57.03640192,55.89739501,613524500
10.59,0,0.227921908,0.227921908,0.227921908,0.227921908,0.227921908,0,0,0,0,9.821655247,57.02646868,55.88923089,614104400
10.6,0,0.227893446,0.227893446,0.227893446,0.227893446,0.227893446,0,0,0,0,9.816685454,57.01653311,55.88106747,614684300
10.61,0,0.227865062,0.227865062,0.227865062,0.227865062,0.227865062,0,0,0,0,9.811726972,57.00661205,55.87291823,615264100
10.62,0,0.227836745,0.227836745,0.227836745,0.227836745,0.227836745,0,0,0,0,9.806775956,56.99668672,55.86476839,615844000
10.63,0,0.227808486,0.227808486,0.227808486,0.227808486,0.227808486,0,0,0,0,9.801832358,56.98676127,55.8566211,616423900
10.64,0,0.227780304,0.227780304,0.227780304,0.227780304,0.227780304,0,0,0,0,9.796898034,56.97683895,55.84847906,617003800
