0.352,-5.91435022512556e-05,3.81528491668243e-05,1.90763825810582e-05,-9.21523663959391,5.78015030108792e-10,-3.35407183864417
0.356,-5.91435022512556e-05,3.8152844665048e-05,1.90763915846278e-05,-9.21523663959172,5.86295026047678e-10,-3.3540718386502
0.36,-5.91435022512556e-05,3.81528401632697e-05,1.90764005881964e-05,-9.21523663958948,5.94609862206163e-10,-3.35407183865634
0.364,-5.91435022512556e-05,3.81528356614892e-05,1.90764095917639e-05,-9.21523663958721,6.02964437990128e-10,-3.3540718386626
0.368,-5.91435022512556e-05,3.81528311597066e-05,1.90764185953303e-05,-9.21523663958489,6.11352220858397e-10,-3.35407183866896
0.372,-5.91435022512556e-05,3.81528266579219e-05,1.90764275988957e-05,-9.21523663958254,6.19781920865869e-10,-3.35407183867543
0.376,-5.91435022512556e-05,3.8152822156135e-05,1.907643660246e-05,-9.21523663958014,6.28248638606665e-10,-3.35407183868202
0.38,-5.91435022512556e-05,3.81528176543461e-05,1.90764456060232e-05,-9.2152366395777,6.36748563431766e-10,-3.35407183868871
0.384,-5.91435022512556e-05,3.8152813152555e-05,1.90764546095854e-05,-9.21523663957523,6.45286594747052e-10,-3.35407183869552
0.388,-5.91435022512556e-05,3.81528086507618e-05,1.90764636131465e-05,-9.21523663957271,6.53862188174092e-10,-3.35407183870243
0.392,-5.91435022512556e-05,3.81528041489664e-05,1.90764726167066e-05,-9.21523663957015,6.62476976848181e-10,-3.35407183870946
0.396,-5.91435022512556e-05,3.81527996471689e-05,1.90764816202656e-05,-9.21523663956755,6.71126605741867e-10,-3.3540718387166
0.4,-5.91435022512556e-05,3.81527951453693e-05,1.90764906238235e-05,-9.21523663956491,6.79815429882602e-10,-3.35407183872386
0.404,-5.91435022512556e-05,3.81527906435676e-05,1.90764996273804e-05,-9.21523663956223,6.88538549864504e-10,-3.35407183873122
0.408,-5.91435022512556e-05,3.81527861417638e-05,1.90765086309362e-05,-9.21523663955951,6.97298687579728e-10,-3.35407183873869
0.412,-5.91435022512556e-05,3.81527816399578e-05,1.90765176344909e-05,-9.21523663955675,7.06102375569451e-10,-3.35407183874627
0.416,-5.91435022512556e-05,3.81527771381497e-05,1.90765266380446e-05,-9.21523663955395,7.14936548751321e-10,-3.35407183875396
0.42,-5.91435022512556e-05,3.81527726363395e-05,1.90765356415972e-05,-9.21523663955111,7.23808828423378e-10,-3.35407183876177
0.424,-5.91435022512556e-05,3.81527681345271e-05,1.90765446451488e-05,-9.21523663954823,7.32718670207189e-10,-3.35407183876969
0.428,-5.91435022512556e-05,3.81527636327127e-05,1.90765536486993e-05,-9.21523663954531,7.41666618481185e-10,-3.35407183877772
0.432,-5.91435022512556e-05,3.81527591308961e-05,1.90765626522487e-05,-9.21523663954235,7.50651040110073e-10,-3.35407183878585
